extractor,distance,mrr,mmap,accuracy,average_time,errors,comparison_item
AKAZE,cosinus,0.19390175042348956,0.18834828617437316,0.10784867306606437,0.16710818222629145,24,color
AKAZE,cosinus,0.05759457933370977,0.040005646527385655,0.015998494259363824,0.16710818222629145,24,style
AKAZE,cosinus,0.05759457933370977,0.040005646527385655,0.015998494259363824,0.16710818222629145,24,both
AKAZE,manhattan,0.2602296254470168,0.3666099399795052,0.26388104648974214,0.04097746828867966,24,color
AKAZE,manhattan,0.15990965556182948,0.20414209381600681,0.14342179559570864,0.04097746828867966,24,style
AKAZE,manhattan,0.15990965556182948,0.20414209381600681,0.14342179559570864,0.04097746828867966,24,both
AKAZE,euclidean,0.28142292490118576,0.3701426793818098,0.25898738942217203,0.08837128351171164,24,color
AKAZE,euclidean,0.16408808582721626,0.19978930087625738,0.1375870506305289,0.08837128351171164,24,style
AKAZE,euclidean,0.16408808582721626,0.19978930087625738,0.1375870506305289,0.08837128351171164,24,both
ORB,cosinus,0.16413430876008253,0.17692922945455303,0.11123616582254736,0.1483037093839597,6,color
ORB,cosinus,0.05893828549990622,0.0371193647220659,0.015194147439504783,0.1483037093839597,6,style
ORB,cosinus,0.05893828549990622,0.0371193647220659,0.015194147439504783,0.1483037093839597,6,both
ORB,manhattan,0.2722566122678672,0.36077606869672146,0.25023447758394296,0.02963428316836458,6,color
ORB,manhattan,0.15659350966047644,0.1942829154421726,0.13093228287375727,0.02963428316836458,6,style
ORB,manhattan,0.15659350966047644,0.1942829154421726,0.13093228287375727,0.02963428316836458,6,both
ORB,euclidean,0.2814856499718627,0.3485592655119948,0.2387919714875258,0.061018276018039413,6,color
ORB,euclidean,0.15880697805289815,0.18465292106963463,0.12511723879197148,0.061018276018039413,6,style
ORB,euclidean,0.15880697805289815,0.18465292106963463,0.12511723879197148,0.061018276018039413,6,both
SURF,cosinus,0.14392803598200898,0.1566950899550225,0.11712893553223389,0.15496186721362892,1,color
SURF,cosinus,0.04707646176911544,0.034012681159420285,0.01686656671664168,0.15496186721362892,1,style
SURF,cosinus,0.04707646176911544,0.034012681159420285,0.01686656671664168,0.15496186721362892,1,both
SURF,manhattan,0.29778860569715143,0.38604525862068967,0.26874062968515744,0.0329553778081747,1,color
SURF,manhattan,0.1779610194902549,0.2180534732633683,0.15142428785607195,0.0329553778081747,1,style
SURF,manhattan,0.1779610194902549,0.2180534732633683,0.15142428785607195,0.0329553778081747,1,both
SURF,euclidean,0.27908545727136436,0.33630710686323506,0.22619940029985008,0.06981775464470162,1,color
SURF,euclidean,0.152023988005997,0.17291614609361985,0.11206896551724138,0.06981775464470162,1,style
SURF,euclidean,0.152023988005997,0.17291614609361985,0.11206896551724138,0.06981775464470162,1,both
VGG16,cosinus,0.1386546749109987,0.1157883642495784,0.05752295296983324,0.9726471024013447,0,color
VGG16,cosinus,0.004384485666104553,0.0028886390606458062,0.0011242270938729624,0.9726471024013447,0,style
VGG16,cosinus,0.004384485666104553,0.0028886390606458062,0.0011242270938729624,0.9726471024013447,0,both
VGG16,cosinus,0.13325838486040847,0.09849530531093208,0.04103428892636313,0.2843082910265752,0,color
VGG16,cosinus,0.00415964024732996,0.002951096121416526,0.0013115982761851227,0.2843082910265752,0,style
VGG16,cosinus,0.00415964024732996,0.002951096121416526,0.0013115982761851227,0.2843082910265752,0,both
VGG16,manhattan,0.2701142964212105,0.7404360023317303,0.6788457935169571,0.21370623253337537,0,color
VGG16,manhattan,0.267303728686528,0.706224626819062,0.6426831553307102,0.21370623253337537,0,style
VGG16,manhattan,0.267303728686528,0.706224626819062,0.6426831553307102,0.21370623253337537,0,both
VGG16,euclidean,0.2711261008056961,0.7398064872067122,0.6762225969645869,0.2897333666383494,0,color
VGG16,euclidean,0.26674161513959155,0.7053244644307038,0.6411841858722128,0.2897333666383494,0,style
VGG16,euclidean,0.26674161513959155,0.7053244644307038,0.6411841858722128,0.2897333666383494,0,both
VGG19,cosinus,0.12422709387296234,0.11706352924031395,0.0667041409031291,0.29764720664078853,0,color
VGG19,cosinus,0.004721753794266442,0.00496533633127225,0.002997938916994566,0.29764720664078853,0,style
VGG19,cosinus,0.004721753794266442,0.00496533633127225,0.002997938916994566,0.29764720664078853,0,both
VGG19,manhattan,0.27277496721004313,0.7387829721233319,0.6784710511523327,0.22677654560661636,0,color
VGG19,manhattan,0.26895259509087505,0.705931599108946,0.6453063518830804,0.22677654560661636,0,style
VGG19,manhattan,0.26895259509087505,0.705931599108946,0.6453063518830804,0.22677654560661636,0,both
VGG19,euclidean,0.2749109986884018,0.7399857910186747,0.6790331646992692,0.3045592902639016,0,color
VGG19,euclidean,0.27221285366310666,0.7063180521724648,0.6447442383361439,0.3045592902639016,0,style
VGG19,euclidean,0.27221285366310666,0.7063180521724648,0.6447442383361439,0.3045592902639016,0,both
MobileNet,cosinus,0.14157766535506838,0.13703443465950493,0.0766348135656736,0.12379437246102842,0,color
MobileNet,cosinus,0.001498969458497283,0.0013927924551870587,0.0007494847292486415,0.12379437246102842,0,style
MobileNet,cosinus,0.001498969458497283,0.0013927924551870587,0.0007494847292486415,0.12379437246102842,0,both
MobileNet,manhattan,0.26779089376053966,0.7323972581350322,0.6735994004122166,0.07141226294426206,0,color
MobileNet,manhattan,0.2658422334644932,0.7061197510045177,0.646055836612329,0.07141226294426206,0,style
MobileNet,manhattan,0.2658422334644932,0.7061197510045177,0.646055836612329,0.07141226294426206,0,both
MobileNet,euclidean,0.271201049278621,0.7431817708658631,0.6824058459808882,0.1047754047826946,0,color
MobileNet,euclidean,0.2693648116919618,0.7169932650469469,0.6541127974517519,0.1047754047826946,0,style
MobileNet,euclidean,0.2693648116919618,0.7169932650469469,0.6541127974517519,0.1047754047826946,0,both
autoencoder,cosinus,0.1262507026419337,0.17842082526596298,0.13453250890013116,0.09011105796874005,0,color
autoencoder,cosinus,0.033239647742177254,0.03464310994524598,0.021922428330522766,0.09011105796874005,0,style
autoencoder,cosinus,0.033239647742177254,0.03464310994524598,0.021922428330522766,0.09011105796874005,0,both
autoencoder,manhattan,0.28338017612891137,0.6053200403888993,0.5192055461869964,0.05524151379279883,0,color
autoencoder,manhattan,0.25340078695896573,0.5190062040680365,0.4399475360689526,0.05524151379279883,0,style
autoencoder,manhattan,0.25340078695896573,0.5190062040680365,0.4399475360689526,0.05524151379279883,0,both
autoencoder,euclidean,0.28390481543938545,0.6059011512918202,0.5192055461869964,0.08905160813512976,0,color
autoencoder,euclidean,0.2539629005059022,0.520171548726917,0.4393854225220161,0.08905160813512976,0,style
autoencoder,euclidean,0.2539629005059022,0.520171548726917,0.4393854225220161,0.08905160813512976,0,both
